Agriculture (km²),Forest (km²),Pasture (km²),Year
2605.0,60612.0,231134.0,2001
2472.0,54437.0,239392.0,2002
2642.0,49906.0,244002.0,2003
2764.0,45960.0,246360.0,2004
2976.0,44393.0,247262.0,2005
3203.0,40937.0,250018.0,2006
3357.0,39440.0,250238.0,2007
3726.0,34968.0,252082.0,2008
3899.0,34334.0,254068.0,2009
3956.0,34740.0,252582.0,2010
4225.0,36248.0,251115.0,2011
4402.0,35394.0,251080.0,2012
4539.0,32732.0,253936.0,2013
4611.0,32719.0,254272.0,2014
4853.0,33545.0,250632.0,2015
4524.0,30428.0,247305.0,2016
4874.0,32213.0,243316.0,2017
5334.0,32915.0,239701.0,2018
5190.0,36080.0,237123.0,2019
5173.0,37488.0,235074.0,2020
5130.0,37200.0,236362.0,2021
5260.0,37682.0,234908.0,2022
5922.0,36463.0,234306.0,2023
6064.0,36137.0,233824.0,2024
